,model,threshold,n_hosp_mode,n_prescription_mode,avg_max_unfairness_risk,avg_mean_unfairness_risk,initial_unfairness_risk,avg_max_gap_tpr,avg_mean_gap_tpr,initial_gap_tpr,avg_max_gap_fpr,avg_mean_gap_fpr,initial_gap_fpr,avg_max_gap_precision,avg_mean_gap_precision,initial_gap_precision,avg_max_gap_f1,avg_mean_gap_f1,initial_gap_f1,avg_max_gap_accuracy,avg_mean_gap_accuracy,initial_gap_accuracy,avg_utility_tpr,avg_utility_fpr,avg_utility_precision,avg_utility_f1,avg_utility_accuracy,n_traces
43,xgboost,0.4,random_2,expectation,0.034629710018634796,0.018989916890859604,0.0011719241738319397,0.13093758093758093,0.10432004662004661,0.10787360787360789,0.045067674547244516,0.026918265324356726,1.8857076317359278e-05,0.051423972605903034,0.038662348442444025,0.03317493698929219,0.06119576200456613,0.050382365746804755,0.01910753938881249,0.042016491546237024,0.02277450223052547,0.005875366928780101,0.6678079096045197,0.14602572783267606,0.11147730524145405,0.1864853397740342,0.8496944930296996,10
44,xgboost,0.45,random_2,expectation,0.033460307866334915,0.01811658963561058,0.0011719241738319397,0.14614089614089612,0.11440997150997152,0.11344211344211344,0.04079399509163022,0.022109635852239524,0.0021698988606597136,0.05056685856052996,0.04034224023545979,0.023029144768275167,0.06321389809119855,0.0463972134188272,0.00048245220357245877,0.03682682649612381,0.01808045410456537,0.008448894811207586,0.6282772128060262,0.11462391102051668,0.13249295139616474,0.21255292138924275,0.8794656420469306,10
45,xgboost,0.5,random_2,expectation,0.03352125361561775,0.01797650381922722,0.0011719241738319397,0.15343175343175344,0.12888712768712768,0.13403263403263396,0.041515378194583855,0.02203145971940481,0.0017892260762002836,0.06623227279604557,0.04840961339504059,0.012569533590072735,0.06881213074632189,0.04926729228378523,0.02376170250128956,0.036338677306262404,0.017490359844766015,0.008983428754459677,0.5903721280602637,0.08855520893339833,0.15749553470291264,0.24056433162721325,0.9040636505325137,10
46,xgboost,0.55,random_2,expectation,0.03386672958731651,0.01788979023694992,0.0011719241738319397,0.17900802900802898,0.14885309505309505,0.12069412069412074,0.04490244958714299,0.02166495338818291,0.0006083638835876135,0.07625890788410424,0.05651040381623381,0.021673963759547443,0.07524889556006345,0.04677388989353674,0.022847293027849325,0.03840916211615998,0.01662776709259172,0.007926553896774435,0.5373141242937853,0.06542898923206453,0.18651308865830882,0.26756430325949554,0.9254384708632782,10
47,xgboost,0.6,random_2,expectation,0.03353256732225418,0.01767463982105255,0.0011719241738319397,0.18249158249158248,0.14624897694897696,0.11098161098161097,0.0394681538187594,0.015621129623400407,0.0011243699627235017,0.08252482670816452,0.056432289385948985,0.017565485362095512,0.07152302301593975,0.0405218319894335,0.030709891612147322,0.031805690506143,0.01213630231223836,0.008461133055213788,0.4936433145009416,0.0470043071741924,0.2238112799168916,0.2985503399643943,0.942435639449303,10
48,xgboost,0.7,random_2,expectation,0.03163709491491318,0.01713808998465538,0.0011719241738319397,0.18991193991193991,0.15924542864542865,0.14594664594664594,0.019389050477083242,0.004961498771801569,0.0009319756449049001,0.0859875651855472,0.03542614849545685,0.012757201646090566,0.08642873421383436,0.047067321964353995,0.08068783068783074,0.011166121080122094,0.0070240938650406246,0.009524096891443845,0.4220399246704331,0.02258438427792795,0.31874781601971325,0.3585906945990963,0.9646480820850292,10
49,mlp,0.3,random_2,expectation,0.02535652369260788,0.014275416093568007,0.0038971900939941406,0.10722610722610726,0.053431494431494427,0.09764309764309764,0.03005082154548816,0.010382842034211123,0.00702160260974985,0.024221165331991337,0.01752186607500997,0.018687121571588222,0.035108927255781706,0.027218937362280246,0.016371290415186424,0.027061359882726694,0.011117135257776104,0.01178145004140807,0.7391073446327684,0.2626521543256377,0.07228176214931545,0.12922828794466798,0.7373882948018587,12
50,mlp,0.4,random_2,expectation,0.02559213638305664,0.0146329046651721,0.0038971900939941406,0.11381766381766383,0.0718048433048433,0.10670810670810671,0.01883455763447734,0.010326231634100356,0.011650355203486576,0.021496951698881932,0.015008515749812495,0.006097146263497555,0.031034650783208172,0.021869720019068235,0.022181710264128573,0.020830074574312595,0.013150222588337968,0.01741951259595642,0.6623819209039548,0.17455964904506577,0.09890749275329594,0.16693121370693767,0.8216918001558577,10
51,mlp,0.45,random_2,expectation,0.025298413634300233,0.014595803759992124,0.0038971900939941406,0.11679616679616678,0.08375042735042734,0.10800310800310797,0.01666485232152176,0.011684220818812647,0.009601056312270017,0.01885104747513248,0.012585275451716787,0.010808893093661315,0.03403429650890373,0.018638201316833896,0.03120518203954742,0.019452895330398533,0.01544390661749585,0.01577200681941482,0.6207514124293785,0.13701077679797938,0.11689118318378988,0.18989557689568087,0.8574204173521517,10
52,mlp,0.5,random_2,expectation,0.024830010533332825,0.014292096810042856,0.0038971900939941406,0.12775187775187774,0.09366275576275576,0.10204610204610198,0.012368988349060204,0.007835541691044461,0.009838764492575588,0.032844166118665793,0.015080866244115504,0.02926161586268128,0.055595897287918875,0.02233223457421727,0.05051664753157292,0.018252457731787963,0.012722149807922873,0.016443301632262264,0.5624097928436911,0.10312674258873575,0.13716006839724632,0.21194482243679463,0.8891842756948654,10
